 ,X,Y
306,807.000,616.000
307,813.667,650.667
308,865.667,578.667
309,887.000,565.333
310,896.333,488.000
311,988.333,592.000
312,988.333,329.333
313,1235.000,326.667
314,1317.667,396.000
315,1292.333,422.667
316,1312.333,434.667
317,1259.000,449.333
318,1285.667,450.667
319,1305.667,454.667
320,1267.000,468.000
321,1291.000,473.333
322,1311.000,474.667
323,1236.333,493.333
324,1256.333,486.667
325,1252.333,506.667
326,1276.333,497.333
327,1276.333,517.333
328,1259.000,530.667
329,1239.000,522.667
330,1229.667,540.000
331,1207.000,538.667
332,1211.000,520.000
333,1191.000,576.000
334,1208.333,561.333
335,1232.333,562.667
336,1253.667,554.667
337,1280.333,538.667
338,1297.667,518.667
339,1299.000,494.667
340,1327.000,509.333
341,1331.000,489.333
342,1337.667,406.667
343,1352.333,429.333
344,1359.000,406.667
345,1353.667,389.333
346,1352.333,345.333
347,1369.667,333.333
348,1344.333,322.667
349,1389.667,357.333
350,775.000,693.333
351,787.000,710.667
352,807.000,697.333
353,815.000,718.667
354,831.000,701.333
355,823.000,680.000
356,740.333,710.667
357,747.000,734.667
358,683.000,706.667
359,675.000,678.667
360,659.000,700.000
361,653.667,677.333
362,659.000,657.333
363,657.667,636.000
364,631.000,625.333
365,648.333,617.333
366,660.333,597.333
367,643.000,584.000
368,561.667,653.333
369,552.333,672.000
370,569.667,694.667
371,581.667,676.000
372,591.000,654.667
373,613.667,669.333
374,627.000,688.000
375,619.000,644.000
376,635.000,661.333
377,583.000,634.667
378,603.000,694.667
379,619.000,705.333
380,611.000,724.000
381,637.667,726.667
382,640.333,705.333
383,648.333,745.333
384,656.333,721.333
385,679.000,730.667
386,668.333,754.667
387,689.667,742.667
388,712.333,757.333
389,675.000,774.667
390,644.333,766.667
391,621.667,764.000
392,633.667,797.333
393,673.667,798.667
394,697.667,797.333
395,700.333,776.000
396,720.333,788.000
397,745.667,782.667
398,735.000,762.667
399,759.000,754.667
400,767.000,776.000
401,780.333,738.667
402,783.000,760.000
403,800.333,736.000
404,803.000,761.333
405,827.000,765.333
406,827.000,741.333
407,836.333,720.000
408,857.667,713.333
409,855.000,733.333
410,867.000,745.333
411,883.000,736.000
412,883.000,757.333
413,877.667,717.333
414,885.667,698.667
415,869.667,681.333
416,852.333,685.333
417,595.000,610.667
418,619.000,577.333
419,912.333,697.333
420,939.000,670.667
421,923.000,713.333
422,901.667,721.333
423,943.000,709.333
424,935.000,693.333
425,951.000,686.667
426,965.667,686.667
427,963.000,708.000
428,980.333,709.333
429,989.667,688.000
430,977.667,670.667
431,1001.667,706.667
432,993.667,733.333
433,965.667,746.667
434,947.000,733.333
435,943.000,756.000
436,936.333,774.667
437,937.667,792.000
438,915.000,780.000
439,915.000,757.333
440,899.000,766.667
441,884.333,777.333
442,877.667,798.667
443,864.333,786.667
444,849.667,773.333
445,845.667,752.000
446,896.333,626.667
447,896.333,640.000
448,856.333,661.333
449,856.333,661.333
450,873.667,661.333
451,1041.667,642.667
452,1064.333,641.333
453,1084.333,636.000
454,1096.333,624.000
455,1113.667,613.333
456,1131.000,602.667
457,1149.667,610.667
458,1143.000,633.333
459,1117.667,632.000
460,1097.667,641.333
461,1065.667,657.333
462,1055.000,670.667
463,1068.333,689.333
464,1044.333,694.667
465,1024.333,684.000
466,1008.333,676.000
467,1016.333,725.333
468,1024.333,705.333
469,1039.000,730.667
470,1043.000,712.000
471,1060.333,710.667
472,1061.667,726.667
473,1055.000,748.000
474,1075.000,744.000
475,1095.000,741.333
476,1087.000,720.000
477,1099.000,701.333
478,1076.333,674.667
479,1093.667,684.000
480,1108.333,676.000
481,1120.333,686.667
482,1119.000,710.667
483,1113.667,733.333
484,1135.000,721.333
485,1131.000,740.000
486,1109.667,756.000
487,1079.000,772.000
488,1059.000,766.667
489,1041.667,769.333
490,984.333,753.333
491,972.333,766.667
492,967.000,789.333
493,951.000,808.000
494,932.333,814.667
495,915.000,826.667
496,929.667,840.000
497,945.667,826.667
498,965.667,838.667
499,969.667,813.333
500,985.667,825.333
501,1005.667,821.333
502,1013.667,802.667
503,1035.000,794.667
504,1056.333,801.333
505,1068.333,786.667
506,1132.333,670.667
507,1113.667,656.000
508,1093.667,664.000
509,1132.333,649.333
510,1152.333,654.667
511,1173.667,661.333
512,1160.333,588.000
513,1209.667,581.333
514,1199.000,610.667
515,1221.667,612.000
516,1243.000,609.333
517,1227.000,592.000
518,1248.333,589.333
519,1260.333,572.000
520,1271.000,590.667
521,1280.333,562.667
522,1307.000,568.000
523,1301.667,545.333
524,1316.333,528.000
525,1297.667,350.667
526,1383.000,409.333
527,1405.667,405.333
528,1387.000,432.000
529,1388.333,454.667
530,1381.667,476.000
531,1359.000,474.667
532,1383.000,309.333
533,1264.333,402.667
534,1233.667,632.000
535,1252.333,642.667
536,1260.333,620.000
537,1275.000,633.333
538,1288.333,648.000
539,1299.000,630.667
540,1280.333,612.000
541,1292.333,589.333
542,1301.667,609.333
543,1316.333,594.667
544,1324.333,576.000
545,1321.667,554.667
546,1344.333,562.667
547,1340.333,540.000
548,1361.667,526.667
549,1360.333,501.333
550,1383.000,497.333
551,1379.000,518.667
552,1364.333,545.333
553,1365.667,570.667
554,1352.333,589.333
555,1323.000,614.667
556,1337.667,604.000
557,1353.667,613.333
558,1375.000,621.333
559,1397.667,620.000
560,1385.667,602.667
561,1384.333,578.667
562,1381.667,558.667
563,1401.667,472.000
564,1128.333,766.667
565,1088.333,792.000
566,1109.667,778.667
567,1139.000,696.000
568,1224.333,674.667
569,1215.000,693.333
570,1209.667,716.000
571,1208.333,734.667
572,1216.333,756.000
573,1197.667,761.333
574,1180.333,773.333
575,1160.333,768.000
576,1171.000,749.333
577,1153.667,734.667
578,1156.333,713.333
579,1177.667,704.000
580,1176.333,726.667
581,1172.333,684.000
582,1145.667,752.000
583,1145.667,780.000
584,1105.667,801.333
585,1123.000,793.333
586,1121.667,813.333
587,1141.667,804.000
588,1160.333,796.000
589,1184.333,794.667
590,1169.667,814.667
591,784.333,786.667
592,800.333,794.667
593,821.667,794.667
594,844.333,796.000
595,857.667,809.333
596,859.000,830.667
597,879.000,822.667
598,896.333,812.000
599,916.333,802.667
600,965.667,726.667
601,1007.000,549.333
602,1004.333,750.667
603,996.333,769.333
604,989.667,784.000
605,1008.333,784.000
606,1020.333,766.667
607,1021.667,746.667
608,592.333,732.000
609,581.667,714.667
610,559.000,714.667
611,545.667,697.333
612,537.667,721.333
613,540.333,740.000
614,556.333,736.000
615,575.000,750.667
616,579.000,770.667
617,568.333,786.667
618,556.333,770.667
619,540.333,758.667
620,523.000,760.000
621,520.333,742.667
622,515.000,722.667
623,524.333,702.667
624,515.000,780.000
625,588.333,789.333
626,601.667,758.667
627,668.333,830.667
628,684.333,820.000
629,709.667,817.333
630,729.667,806.667
631,753.667,802.667
632,780.333,812.000
633,719.000,838.667
634,736.333,825.333
635,741.667,849.333
636,719.000,858.667
637,671.000,857.333
638,644.333,852.000
639,689.667,841.333
640,759.000,824.000
641,775.000,840.000
642,773.667,862.667
643,792.333,849.333
644,805.667,832.000
645,819.000,817.333
646,839.000,820.000
647,825.667,845.333
648,808.333,858.667
649,791.000,878.667
650,739.000,870.667
651,759.000,881.333
652,760.333,900.000
653,777.667,910.667
654,800.333,904.000
655,825.667,890.667
656,811.000,888.000
657,831.000,869.333
658,847.000,866.667
659,861.667,854.667
660,879.000,844.000
661,897.667,833.333
662,911.000,852.000
663,892.333,861.333
664,883.000,878.667
665,860.333,884.000
666,845.667,896.000
667,1235.000,700.000
668,1231.000,729.333
669,1251.000,745.333
670,1252.333,722.667
671,1257.667,701.333
672,1260.333,673.333
673,1276.333,714.667
674,1280.333,737.333
675,1236.333,752.000
676,1249.667,761.333
677,1268.333,766.667
678,1251.000,780.000
679,1231.000,778.667
680,1220.333,804.000
681,1223.000,824.000
682,1245.667,820.000
683,1241.667,798.667
684,1263.000,808.000
685,1269.667,786.667
686,1285.667,800.000
687,1293.667,770.667
688,1309.667,756.000
689,1299.000,724.000
690,1313.667,740.000
691,1268.333,654.667
692,1283.000,668.000
693,1288.333,688.000
694,1308.333,700.000
695,1311.000,677.333
696,1303.000,657.333
697,1315.000,641.333
698,1335.000,653.333
699,1333.667,672.000
700,1332.333,700.000
701,1323.000,721.333
702,1341.667,724.000
703,1337.667,632.000
704,1357.667,636.000
705,1356.333,657.333
706,1375.000,646.667
707,1397.667,645.333
708,1385.667,665.333
709,1359.000,678.667
710,1375.000,684.000
711,1364.333,698.667
712,1347.000,702.667
713,1341.667,688.000
714,1357.667,716.000
715,1387.000,706.667
716,1399.000,686.667
717,1407.000,664.000
718,1412.333,704.000
719,1408.333,605.333
720,1419.000,624.000
721,1431.000,606.667
722,1431.000,588.000
723,1404.333,586.667
724,1417.667,572.000
725,1404.333,554.667
726,1395.000,538.667
727,1413.667,528.000
728,1425.667,506.667
729,1427.000,485.333
730,1421.667,464.000
731,1407.000,449.333
732,1407.000,429.333
733,1400.333,374.667
734,1393.667,329.333
735,1433.667,376.000
736,1431.000,405.333
737,1468.333,404.000
738,1453.667,374.667
739,1479.000,380.000
740,1461.667,353.333
741,1460.333,330.667
742,1485.667,356.000
743,1437.667,430.667
744,1471.000,441.333
745,1444.333,458.667
746,1467.000,464.000
747,1451.000,481.333
748,1447.000,505.333
749,1436.333,529.333
750,1457.667,525.333
751,1467.000,502.667
752,1480.333,485.333
753,1487.000,468.000
754,1495.000,445.333
755,1517.667,430.667
756,1508.333,410.667
757,1491.000,417.333
758,1544.333,428.000
759,1529.667,468.000
760,1527.000,492.000
761,1516.333,509.333
762,1481.667,518.667
763,1473.667,540.000
764,1500.333,385.333
765,1527.000,390.667
766,1544.333,401.333
767,1540.333,376.000
768,1525.667,361.333
769,1508.333,352.000
770,1483.000,329.333
771,1564.333,382.667
772,1565.667,413.333
773,1417.667,333.333
774,1439.000,330.667
775,1504.333,485.333
776,1495.000,501.333
777,1553.667,468.000
778,1577.667,453.333
779,1592.333,429.333
780,1615.000,426.667
781,1639.000,425.333
782,1592.333,396.000
783,1619.000,404.000
784,1604.333,473.333
785,1629.667,448.000
786,1669.667,400.000
787,1664.333,378.667
788,1705.667,422.667
789,1651.000,444.000
790,1675.000,448.000
791,1689.667,462.667
792,1673.667,478.667
793,1653.667,464.000
794,1648.333,494.667
795,1629.667,474.667
796,1628.333,502.667
797,1647.000,518.667
798,1573.667,512.000
799,1597.667,516.000
800,1595.000,494.667
801,1575.000,488.000
802,1559.000,500.000
803,1545.667,514.667
804,1527.000,526.667
805,1508.333,526.667
806,1508.333,548.000
807,1493.667,549.333
808,1473.667,557.333
809,1457.667,561.333
810,1436.333,560.000
811,1421.667,546.667
812,1448.333,580.000
813,1469.667,580.000
814,1491.000,570.667
815,1489.667,590.667
816,1480.333,608.000
817,1460.333,600.000
818,1459.000,624.000
819,1511.000,604.000
820,1509.667,584.000
821,1524.333,565.333
822,1532.333,546.667
823,1544.333,562.667
824,1549.667,536.000
825,1573.667,537.333
826,1564.333,557.333
827,1592.333,548.000
828,1585.667,532.000
829,1711.000,501.333
